U (V)	x (mm)	I1 (pA)	I2(pA)	I3(pA)
180	20	1777	1834	1810
162	18	1340	1320	1354
144	16	959	942	955
126	14	655	648	656
108	12	444	443	448
90	10	301	291	305
72	8	207	199	178
54	6	110	113	173
36	4	77	76	73
18	2	48	39	46
