U (V)	x (mm)	I1 (pA)	I2(pA)	I3(pA)
160	20	1500	1471	1484
144	18	1114	1132	1144
128	16	811	793	827
112	14	580	582	583
96	12	443	433	419
80	10	297	288	284
64	8	202	200	205
48	6	135	139	138
32	4	75	90	88
16	2	39	54	53
