U (V)	x (mm)	I1 (pA)	I2(pA)	I3(pA)
220	20	1606	1632	1561
198	18	965	931	966
176	16	606	619	593
154	14	353	332	359
132	12	199	191	218
110	10	121	126	123
88	8	72	67	80
66	6	45	48	46
44	4	8	11	11
22	2	2	2	4
