U (V)	x (mm)	I1 (pA)	I2(pA)	I3(pA)
200	20	1748	1774	1814
180	18	1215	1217	1226
160	16	811	787	861
140	14	510	521	513
120	12	347	344	342
100	10	242	226	221
80	8	149	147	143
60	6	96	87	84
40	4	44	47	45
20	2	24	23	24
