# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.465942347718494E-001 4.930132008643656E+001 
2.235007500000000E+009 -3.518975864766601E-001 4.929393446711647E+001 
2.235015000000000E+009 -3.538301408983671E-001 4.927485026515015E+001 
2.235022500000000E+009 -3.559297962746852E-001 4.926401381630090E+001 
2.235030000000000E+009 -3.545149603305879E-001 4.925852155350058E+001 
2.235037500000000E+009 -3.553123315937750E-001 4.924808612452479E+001 
2.235045000000000E+009 -3.569519979564514E-001 4.923920896053451E+001 
2.235052500000000E+009 -3.565560972221206E-001 4.921560030624493E+001 
2.235060000000000E+009 -3.548195730602989E-001 4.921588186624263E+001 
2.235067500000000E+009 -3.558509818232867E-001 4.920451333376105E+001 
2.235075000000000E+009 -3.558123579198968E-001 4.919620955580820E+001 
2.235082500000000E+009 -3.555576093965024E-001 4.916247756007588E+001 
2.235090000000000E+009 -3.560365807036154E-001 4.916124918677429E+001 
2.235097500000000E+009 -3.554351751672450E-001 4.915232414335493E+001 
2.235105000000000E+009 -3.547978693986474E-001 4.913502968373476E+001 
2.235112500000000E+009 -3.545914649238563E-001 4.914134458084586E+001 
2.235120000000000E+009 -3.562202263434751E-001 4.912149341226851E+001 
2.235127500000000E+009 -3.552853914745157E-001 4.912302550576089E+001 
2.235135000000000E+009 -3.565508248175521E-001 4.910451874425795E+001 
2.235142500000000E+009 -3.571808976608520E-001 4.910256974038357E+001 
2.235150000000000E+009 -3.554359171669985E-001 4.908689063932180E+001 
2.235157500000000E+009 -3.550798849667418E-001 4.908209589857912E+001 
2.235165000000000E+009 -3.577637980223445E-001 4.906708984132101E+001 
2.235172500000000E+009 -3.551442488744519E-001 4.906938309021735E+001 
2.235180000000000E+009 -3.555473353899998E-001 4.905721247402960E+001 
2.235187500000000E+009 -3.575462301164104E-001 4.903665055405894E+001 
2.235195000000000E+009 -3.561804095415721E-001 4.904746391765089E+001 
2.235202500000000E+009 -3.556455708399393E-001 4.903222110562400E+001 
2.235210000000000E+009 -3.570487305456345E-001 4.901747484451826E+001 
2.235217500000000E+009 -3.562368686305931E-001 4.899718677499757E+001 
2.235225000000000E+009 -3.557273125573118E-001 4.899212286657495E+001 
2.235232500000000E+009 -3.570481030725353E-001 4.897862727741558E+001 
2.235240000000000E+009 -3.559065911162121E-001 4.898068773165016E+001 
2.235247500000000E+009 -3.564455309009936E-001 4.896105526223086E+001 
2.235255000000000E+009 -3.565145669699375E-001 4.896765784993279E+001 
2.235262500000000E+009 -3.594494885715284E-001 4.894454988637210E+001 
2.235270000000000E+009 -3.593538009185980E-001 4.894676235543697E+001 
2.235277500000000E+009 -3.576138295947089E-001 4.893734329198991E+001 
2.235285000000000E+009 -3.564928137794941E-001 4.891417865394934E+001 
2.235292500000000E+009 -3.556538543363459E-001 4.890928730940782E+001 
