# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
2.235000000000000E+009 -3.878854581996985E-001 4.928571360311935E+001 
2.235007500000000E+009 -3.893495207763250E-001 4.926460562891984E+001 
2.235015000000000E+009 -3.957624774416086E-001 4.923982821760509E+001 
2.235022500000000E+009 -3.959039009942904E-001 4.922922702521472E+001 
2.235030000000000E+009 -3.966806873806948E-001 4.922112942063615E+001 
2.235037500000000E+009 -3.950256603354607E-001 4.922319457393521E+001 
2.235045000000000E+009 -3.948363710062277E-001 4.920664117339094E+001 
2.235052500000000E+009 -3.946666248994642E-001 4.919769939756029E+001 
2.235060000000000E+009 -3.947539138010119E-001 4.917646036855400E+001 
2.235067500000000E+009 -3.958480836980385E-001 4.916867604046314E+001 
2.235075000000000E+009 -3.939568816675576E-001 4.914921303226878E+001 
2.235082500000000E+009 -3.961217127087540E-001 4.915009924056698E+001 
2.235090000000000E+009 -3.955607919058261E-001 4.915026052284895E+001 
2.235097500000000E+009 -3.977000720543534E-001 4.913972296582614E+001 
2.235105000000000E+009 -3.960942775092805E-001 4.912649139827348E+001 
2.235112500000000E+009 -3.951080809659530E-001 4.912455480041255E+001 
2.235120000000000E+009 -3.959949794329041E-001 4.909635900345375E+001 
2.235127500000000E+009 -3.975210372471462E-001 4.906800365603870E+001 
2.235135000000000E+009 -3.956599413523954E-001 4.907659771758075E+001 
2.235142500000000E+009 -3.953236549512378E-001 4.906422105186132E+001 
2.235150000000000E+009 -3.953725082304234E-001 4.907640915630151E+001 
2.235157500000000E+009 -3.962234939920517E-001 4.903611419990544E+001 
2.235165000000000E+009 -3.940164987466951E-001 4.904536849413875E+001 
2.235172500000000E+009 -3.955269904128046E-001 4.902901305414842E+001 
2.235180000000000E+009 -3.955619535559996E-001 4.902083470510311E+001 
2.235187500000000E+009 -3.965131065240559E-001 4.902921059478057E+001 
2.235195000000000E+009 -3.950765487785659E-001 4.901160602020497E+001 
2.235202500000000E+009 -3.968975412007839E-001 4.898786511827559E+001 
2.235210000000000E+009 -3.965691855767032E-001 4.898424599770152E+001 
2.235217500000000E+009 -3.954116452152937E-001 4.896615808444469E+001 
2.235225000000000E+009 -3.948975160391703E-001 4.895426864119100E+001 
2.235232500000000E+009 -3.975334968368086E-001 4.894829073368916E+001 
2.235240000000000E+009 -3.963773849142683E-001 4.893476097842481E+001 
2.235247500000000E+009 -3.958465882473036E-001 4.895730350677986E+001 
2.235255000000000E+009 -3.972855204613386E-001 4.891967109444609E+001 
2.235262500000000E+009 -3.971824978308899E-001 4.891263190196952E+001 
2.235270000000000E+009 -3.963074345000066E-001 4.891671670237911E+001 
2.235277500000000E+009 -3.961306560272266E-001 4.889407021271676E+001 
2.235285000000000E+009 -3.971736557205337E-001 4.889754375950891E+001 
2.235292500000000E+009 -3.970718956836803E-001 4.887384984093210E+001 
2.235300000000000E+009 -3.964936513823721E-001 4.888213985158804E+001 
2.235307500000000E+009 -3.949465834062662E-001 4.886594105537338E+001 
2.235315000000000E+009 -3.977050364306336E-001 4.884954517692209E+001 
2.235322500000000E+009 -3.956124215501736E-001 4.884153779884124E+001 
