# Version 1.00
#
freq[Hz] db:Trc1_S21 ang:Trc1_S21 
1.500000000000000E+009 -5.955392716640691E+001 4.409593382216399E+001 
1.500375000000000E+009 -5.941207487936217E+001 4.293756872424585E+001 
1.500750000000000E+009 -5.963735945014619E+001 4.341734718876734E+001 
1.501125000000000E+009 -5.945239170508943E+001 4.277463044087909E+001 
1.501500000000000E+009 -5.942436224056588E+001 4.046489988056609E+001 
1.501875000000000E+009 -5.912050669085349E+001 4.268414601754097E+001 
1.502250000000000E+009 -5.905586906235642E+001 4.142082194304238E+001 
1.502625000000000E+009 -5.912948546358584E+001 4.221748806819198E+001 
1.503000000000000E+009 -5.897665661974487E+001 4.133949872743893E+001 
1.503375000000000E+009 -5.902307022398111E+001 4.066486524448395E+001 
1.503750000000000E+009 -5.887052360093716E+001 4.005510852242958E+001 
1.504125000000000E+009 -5.894770167076382E+001 4.040261346650959E+001 
1.504500000000000E+009 -5.880918104229500E+001 4.123985672252702E+001 
1.504875000000000E+009 -5.850355488202250E+001 3.853992667884664E+001 
1.505250000000000E+009 -5.862904705714192E+001 3.846894713291928E+001 
1.505625000000000E+009 -5.828939930880618E+001 3.813666893067882E+001 
1.506000000000000E+009 -5.835588929632210E+001 3.614046545865657E+001 
1.506375000000000E+009 -5.825490763109350E+001 3.718229072051364E+001 
1.506750000000000E+009 -5.820455189865213E+001 3.720185605107631E+001 
1.507125000000000E+009 -5.841873364488038E+001 3.693337571320897E+001 
1.507500000000000E+009 -5.787841831557732E+001 3.639410966677675E+001 
1.507875000000000E+009 -5.792314814901940E+001 3.613100560356372E+001 
1.508250000000000E+009 -5.801875406005024E+001 3.597887787300243E+001 
1.508625000000000E+009 -5.786673701140538E+001 3.412319563220592E+001 
1.509000000000000E+009 -5.806736071869280E+001 3.470520831961136E+001 
1.509375000000000E+009 -5.780934439869868E+001 3.395754634445879E+001 
1.509750000000000E+009 -5.789104126298985E+001 3.508820604894991E+001 
1.510125000000000E+009 -5.772235383145998E+001 3.427070131744893E+001 
1.510500000000000E+009 -5.760586834709502E+001 3.292356589900834E+001 
1.510875000000000E+009 -5.771279552567006E+001 3.269476307748369E+001 
1.511250000000000E+009 -5.748658866710713E+001 3.181352423667383E+001 
1.511625000000000E+009 -5.751320610745975E+001 3.264257359974997E+001 
1.512000000000000E+009 -5.750536581230739E+001 3.218727855409355E+001 
1.512375000000000E+009 -5.721114101793850E+001 3.136593134454773E+001 
1.512750000000000E+009 -5.705992647211128E+001 3.134177535574510E+001 
1.513125000000000E+009 -5.723791509567265E+001 3.052049799321496E+001 
1.513500000000000E+009 -5.690384921716209E+001 3.032309671036796E+001 
1.513875000000000E+009 -5.692880214225042E+001 3.096679303959850E+001 
1.514250000000000E+009 -5.698591741460297E+001 2.920879643370721E+001 
1.514625000000000E+009 -5.679553949120963E+001 2.916820726849702E+001 
1.515000000000000E+009 -5.699610724848382E+001 2.921008441138664E+001 
1.515375000000000E+009 -5.684415063108295E+001 3.013587509803647E+001 
1.515750000000000E+009 -5.680208228408159E+001 2.836690788081733E+001 
1.516125000000000E+009 -5.700646212463040E+001 2.837724766700764E+001 
1.516500000000000E+009 -5.645258577077604E+001 2.650668921008378E+001 
1.516875000000000E+009 -5.644465654729596E+001 2.747715340607905E+001 
1.517250000000000E+009 -5.656508626583447E+001 2.752071664789444E+001 
1.517625000000000E+009 -5.658462349965044E+001 2.634076795147105E+001 
1.518000000000000E+009 -5.628108741984884E+001 2.691531843340675E+001 
1.518375000000000E+009 -5.641555252668252E+001 2.469396466212974E+001 
1.518750000000000E+009 -5.624113746947879E+001 2.367501059120939E+001 
