# I = 5 mA
# p = 200 Pa
t	fr	f0
400	2756.81	2731.103
450	2753.836	
520	2751.417	
600	2748.704	
650	2747.323	
710	2745.975	
800	2743.57	
920	2741.662	
1060	2739.769	
1160	2738.464	
1280	2737.423	
1400	2736.212	
1580	2735.07	
1740	2734.013	
1900	2732.861	
2040	2732.501	
2160	2731.63	
2520	2731.19	

