# I = 5 mA
# p = 380 Pa
t	fr	f0
370	2755.189	2731.478
450	2751.965	
540	2749.032	
680	2745.361	
860	2742.625	
1000	2740.7	
1180	2739.379	
1380	2738.047	
1620	2736.841	
1820	2735.873	
2040	2735.024	
2320	2734.288	
2560	2733.58	
3040	2732.749	
3160	2732.382	

