# I = 5 mA
# p = 10 Pa
t	fr	f0
34	2753.562	2731.65
52	2750.081	
70	2747.549	
90	2745.138	
116	2742.755	
156	2740.55	
180	2739.603	
202	2738.731	
264	2737.138	
300	2736.221	
360	2735.533	
424	2734.854	
500	2734.14	
600	2733.453	
700	2732.986	
800	2732.647	
890	2732.362	
1000	2732.101	
1100	2731.916	
1180	2731.78	

