# I = 5 mA
# p = 20 Pa
t	fr	f0
42	2751.409	2731.516
51	2751.114	
69	2747.794	
93	2745.17	
118	2742.18	
152	2741.16	
180	2739.825	
200	2739	
256	2737.667	
300	2736.612	
360	2735.851	
400	2735.274	
500	2734.355	
610	2733.641	
720	2733.06	
820	2732.741	
900	2732.506	
1060	2732.193	
1260	2731.667	

