# I = 5 mA
# p = 50 Pa
t	fr	f0
60	2763.57	2731.092
80	2761.79	
108	2758.258	
126	2756.648	
150	2754.793	
188	2750.018	
212	2747.205	
240	2745.383	
292	2742.385	
336	2740.643	
424	2737.998	
510	2735.953	
610	2734.436	
750	2733.212	
870	2732.533	
1000	2731.88	
1300	2731.317	
1720	2731.005	

