# I = 5 mA
# p = 300 Pa
t	fr	f0
280	2762.825	2731.321
330	2758.457	
380	2755.237	
450	2752.036	
540	2749.172	
600	2747.072	
680	2745.197	
770	2743.639	
870	2742.023	
1060	2739.819	
1240	2738.487	
1420	2737.24	
1600	2736.016	
1800	2735.184	
2000	2734.241	
2240	2733.695	
2480	2732.944	
2720	2732.462	
3120	2731.479	

